,maxtempC,mintempC,uvIndex,HeatIndexC,WindGustKmph,humidity,tempC,windspeedKmph,Brent_Prices,Henry_Hub_Price,WTI_Prices,elec_price
2021-08-16 12:00:00,23,16,6,25,36,44,23,30,69.7513052430654,3.9308272514331923,67.007292806246,59.19
2021-08-16 13:00:00,23,16,6,25,36,45,23,29,69.7204961873186,3.9305440203270523,66.96555595137568,50.9
2021-08-16 14:00:00,23,16,6,25,35,45,23,28,69.68996597135812,3.9301482365215246,66.92372136093259,45.37
2021-08-16 15:00:00,23,16,6,25,35,46,23,27,69.65971459518394,3.929639900016612,66.88178903491675,54.67
2021-08-16 16:00:00,23,16,6,23,35,50,22,26,69.62974205879607,3.9290190108123113,66.83975897332814,54.74
2021-08-16 17:00:00,23,16,6,22,36,53,21,25,69.60004836219449,3.9282855689086253,66.79763117616679,58.55
2021-08-16 18:00:00,23,16,6,21,36,57,20,24,69.57063350537922,3.9274395743055526,66.75540564343267,71.0
2021-08-16 19:00:00,23,16,6,19,34,63,19,23,69.54149748835026,3.9264810270030925,66.71308237512578,78.13
2021-08-16 20:00:00,23,16,6,18,32,69,17,21,69.5126403111076,3.9254099270012475,66.67066137124614,79.12
2021-08-16 21:00:00,23,16,6,16,30,75,16,20,69.48406197365124,3.9242262743000156,66.62814263179375,76.9
2021-08-16 22:00:00,23,16,6,15,27,76,15,18,69.45576247598119,3.9229300688993964,66.5855261567686,68.4
2021-08-16 23:00:00,23,16,6,14,25,78,14,17,69.42774181809745,3.9215213107993914,66.54281194617067,60.02
2021-08-17 00:00:00,19,13,4,14,22,79,14,15,69.4,3.92,66.5,59.64
2021-08-17 01:00:00,19,13,4,13,25,79,13,16,69.37253702168887,3.918366136501222,66.45709031825658,49.93
2021-08-17 02:00:00,19,13,4,13,28,79,13,18,69.34535288316404,3.916619720303058,66.41408290094037,39.94
2021-08-17 03:00:00,19,13,4,13,31,79,13,20,69.31844758442551,3.914760751405508,66.37097774805143,14.47
2021-08-17 04:00:00,19,13,4,13,33,78,13,22,69.29182112547329,3.91278922980857,66.32777485958972,33.88
2021-08-17 05:00:00,19,13,4,13,35,77,13,24,69.26547350630737,3.9107051555122463,66.28447423555525,50.06
2021-08-17 06:00:00,19,13,4,13,36,76,13,26,69.23940472692777,3.908508528516537,66.24107587594804,64.35
2021-08-17 07:00:00,19,13,4,14,36,70,14,27,69.21361478733445,3.9061993488214397,66.19757978076805,73.49
2021-08-17 08:00:00,19,13,4,15,35,65,15,28,69.18810368752744,3.9037776164269573,66.15398595001531,69.09
2021-08-17 09:00:00,19,13,4,16,35,60,16,28,69.16287142750676,3.901243331333088,66.11029438368982,54.37
2021-08-17 10:00:00,19,13,4,17,34,56,17,28,69.13791800727236,3.8985964935398325,66.06650508179156,47.2
2021-08-17 11:00:00,19,13,4,18,34,53,18,28,69.11324342682427,3.8958371030471906,66.02261804432055,31.33
2021-08-17 12:00:00,19,13,4,19,34,50,19,28,69.0888476861625,3.892965159855162,65.97863327127678,30.01
2021-08-17 13:00:00,19,13,4,19,34,50,19,27,69.06328739430401,3.8900520338873665,65.93397303613193,41.19
2021-08-17 14:00:00,19,13,4,19,34,51,19,26,69.03511916026581,3.887169095067427,65.88805961235772,39.99
2021-08-17 15:00:00,19,13,4,19,33,51,19,25,69.00434298404791,3.88431634339534,65.84089299995414,49.08
2021-08-17 16:00:00,19,13,4,19,33,53,19,24,68.97095886565029,3.8814937788711075,65.79247319892116,54.18
2021-08-17 17:00:00,19,13,4,18,33,55,18,22,68.93496680507299,3.878701401494729,65.74280020925883,69.09
2021-08-17 18:00:00,19,13,4,18,33,57,18,21,68.89636680231598,3.8759392112662066,65.69187403096711,85.36
2021-08-17 19:00:00,19,13,4,17,32,61,17,20,68.85515885737924,3.873207208185536,65.63969466404602,92.39
2021-08-17 20:00:00,19,13,4,16,31,65,16,18,68.8113429702628,3.87050539225272,65.58626210849556,92.71
2021-08-17 21:00:00,19,13,4,15,30,70,15,16,68.76491914096667,3.867833763467759,65.53157636431574,88.97
2021-08-17 22:00:00,19,13,4,14,32,71,14,18,68.71588736949082,3.865192321830652,65.47563743150654,81.03
2021-08-17 23:00:00,19,13,4,14,34,72,14,20,68.66424765583525,3.8625810673413987,65.41844531006795,68.22
2021-08-18 00:00:00,20,11,4,13,36,73,13,22,68.61,3.86,65.36,61.65
2021-08-18 01:00:00,20,11,4,13,36,76,13,22,68.55314440198502,3.857449119806455,65.30030150130267,60.62
2021-08-18 02:00:00,20,11,4,12,36,79,12,21,68.49368086179035,3.854928426760764,65.23934981397596,61.83
2021-08-18 03:00:00,20,11,4,11,35,82,11,21,68.43160937941596,3.8524379208629274,65.1771449380199,63.1
2021-08-18 04:00:00,20,11,4,12,34,80,12,21,68.36692995486187,3.8499776021129453,65.11368687343443,62.83
